ingredient_name,bls_entry_name,category,notes
ajvar,Ajvar Konserve,Condiments & Sauces,
apfel,Apfel roh,Specialty Items,
aubergine,Aubergine roh,Vegetables & Produce,
avocado,Avocado roh,Vegetables & Produce,
babyspinat,Spinat roh,Vegetables & Produce,
backpulver,Backpulver,Saucen und Würzmittel,
balsamico,Balsamicoessig,Seasonings & Condiments,
basilikum,Basilikum getrocknet,Vegetables & Produce,
bergkäse,Bergkäse mind. 45 % Fett i. Tr.,Dairy & Cheese,
blumenkohl,Blumenkohl roh,Vegetables & Produce,
blätterteig,Weizenmehl,Dairy & Cheese,
bohne,Kidneybohne reif,Legumes & Nuts,
brokkoli,Brokkoli roh,Vegetables & Produce,
brühe,Gemüsebrühe,Seasonings & Condiments,
butter,Süßrahmbutter,Fats & Oils,
cayenne,Paprikapulver (edelsüß),Seasonings & Condiments,
champignon,Champignons im Backteig (mit Bier) frittiert,Vegetables & Produce,
champignons,Champignon roh,Vegetables & Produce,
cheddar,Chester (Cheddar) mind. 50 % Fett i. Tr.,Dairy & Cheese,
cherry-tomate,Tomate roh,Vegetables & Produce,
chili,"Gemüsepaprika grün, roh",Seasonings & Condiments,
chiliflocken,"Pfefferschote rot, roh",Seasonings & Condiments,
chorizo,Mettwurst gekocht,Proteins & Meat,
couscous,Couscous mit Butter,Auto-imported,"Score: 0.793, Freq: 8"
crème fraîche,"Sauerrahm/Creme fraiche, 30 % Fett",Fats & Oils,
curry,Lammcurry,Auto-imported,"Score: 0.914, Freq: 26"
ei,Hühnervollei frisch,Vegetables & Produce,
eier,Hühnervollei frisch,Vegetables & Produce,
eigelb,Hühnereigelb frisch,Vegetables & Produce,
eisbergsalat,Eisbergsalat roh,Auto-imported,"Score: 1.0, Freq: 9"
emmentaler,Emmentaler mind. 45 % Fett i. Tr.,Dairy & Cheese,
erbse,"Erbsen, grün, gefroren",Specialty Items,
erbsen,"Erbsen, grün, gefroren",Specialty Items,
erbsennudeln,"Teigwaren eifrei, roh",Grains & Flour,
erdnusscreme,Erdnussbutter/Erdnusscreme,Auto-imported,"Score: 0.832, Freq: 8"
essig,Weinessig,Condiments & Sauces,
fenchel,Gemüsefenchel roh,Auto-imported,"Score: 0.783, Freq: 9"
feta,Feta mind. 45 % Fett i. Tr.,Dairy & Cheese,
fisch,"Köhler/Seelachs, roh",Proteins & Meat,
fischsauce,Punschsauce,Auto-imported,"Score: 0.762, Freq: 12"
frischkäse,"Frischkäsezubereitung Natur, mind. 60 % Fett i. Tr.",Dairy & Cheese,
garam masala,Currypulver,Seasonings & Condiments,
gemüsebouillonwürfel,Gemüsebrühe,Seasonings & Condiments,
gnocchi,Gnocchi tiefgefroren,Grains & Flour,
gorgonzola,Gorgonzola mind. 48 % Fett i. Tr.,Dairy & Cheese,
gouda,Gouda 48 % Fett i. Tr.,Dairy & Cheese,
griechischer joghurt,"Joghurt mild, mind. 3,5 % Fett",Dairy & Cheese,
gruyère,Emmentaler mind. 45 % Fett i. Tr.,Dairy & Cheese,
gurke,Gurke roh,Vegetables & Produce,
hackfleisch,"Schwein Hackfleisch, roh",Proteins & Meat,
haferflocken,Hafer Flocken,Getreide und Getreideprodukte,
haselnüsse,Haselnuss,Auto-imported,"Score: 0.842, Freq: 8"
hokkaido-kürbis,Kürbis Pumpkin (C. pepo) roh,Vegetables & Produce,
honig,Honig,Seasonings & Condiments,
huhn,Hähnchenschenkel gekocht (mit Fett und Salz),Proteins & Meat,
hähnchen,Hähnchenschenkel gekocht (mit Fett und Salz),Proteins & Meat,
hörnchennudel,"Teigwaren eifrei, roh",Specialty Items,
imette,Limette roh,Auto-imported,"Score: 0.906, Freq: 12"
ingwer,"Ingwer/Ingwerwurzel, roh",Vegetables & Produce,
joghurt,"Joghurt mild, mind. 3,5 % Fett",Dairy & Cheese,
"joghurt, 3,5% fett","Joghurt mild, mind. 3,5 % Fett",Auto-imported,"Score: 0.75, Freq: 8"
kabeljau,"Dorsch/Kabeljau, roh",Proteins & Meat,
karfiol,Blumenkohl roh,Vegetables & Produce,
karotte,"Karotte/Möhre, roh",Vegetables & Produce,
kartoffel,Kartoffelstärke (Kartoffelmehl),Specialty Items,
kartoffeln,Kartoffelstärke (Kartoffelmehl),Specialty Items,
ketchup,Tomatenketchup,Seasonings & Condiments,
kichererbse,Kichererbsen gekocht (mit Fett und Salz),Legumes & Nuts,
kidneybohne,Kidneybohne reif,Legumes & Nuts,
kirschwasser,Kirschwasser,Liquids & Beverages,
knoblauch,Knoblauch roh,Specialty Items,
knoblauchzehe,Knoblauch roh,Specialty Items,
knoblauchzehen,Knoblauch roh,Specialty Items,
knollensellerie,Knollensellerie roh,Auto-imported,"Score: 1.0, Freq: 14"
kokosmilch,Kokosmilch/Kokosnussmilch,Specialty Items,
koriander,Rote-Linsensuppe mit Koriander,Specialty Items,
kräuterschmelzkäse,Emmentaler mind. 45 % Fett i. Tr.,Dairy & Cheese,
kurkuma,Currybratwurst,Seasonings & Condiments,
käse,Emmentaler mind. 45 % Fett i. Tr.,Dairy & Cheese,
kürbis,Kürbiskern,Auto-imported,"Score: 0.95, Freq: 8"
lauch,Bärlauch roh,Auto-imported,"Score: 0.788, Freq: 17"
limette,Limette roh,Specialty Items,
limettensaft,Limette roh,Liquids & Beverages,
linse,"Linsensprossen/Linsenkeimlinge, roh",Legumes & Nuts,
lorbeerblatt,Oregano getrocknet,Seasonings & Condiments,
maiskörner,"Zuckermais Konserve, abgetropft",Vegetables & Produce,
mandel,Mandeldrink ungesüßt,Legumes & Nuts,
mandeln,Mandelöl,Auto-imported,"Score: 0.8, Freq: 9"
mayonnaise,Mayonnaise (Fertigprodukt),Condiments & Sauces,
mehl,Kartoffelstärke (Kartoffelmehl),Grains & Flour,
milch,"Vollmilch frisch, 3,5 % Fett, pasteurisiert",Liquids & Beverages,
mozzarella,Mozzarella mind. 45 % Fett i. Tr.,Dairy & Cheese,
muskat,Muskatnuss,Seasonings & Condiments,
möhre,"Karotte/Möhre, roh",Vegetables & Produce,
nudel,"Teigwaren eifrei, roh",Specialty Items,
nudeln,"Teigwaren eifrei, roh",Specialty Items,
olivenöl,Olivenöl,Fats & Oils,
oregano,Oregano getrocknet,Seasonings & Condiments,
paniermehl,Weizenmehl,Grains & Flour,
paprika,"Gemüsepaprika rot, roh",Vegetables & Produce,
paprika rosenscharf,Aprikosensaft,Auto-imported,"Score: 0.75, Freq: 13"
paprikapulver,"Gemüsepaprika rot, roh",Seasonings & Condiments,
parmesan,Parmesan mind. 30 % Fett i. Tr.,Dairy & Cheese,
pasta,"Teigwaren eifrei, roh",Grains & Flour,
peperoni,Kabanossi/Peperoni,Auto-imported,"Score: 0.815, Freq: 8"
petersilie,Petersilienblatt roh,Vegetables & Produce,
pfeffer,"Pfefferschote grün, roh",Seasonings & Condiments,
pinienkerne,Pinienkern,Auto-imported,"Score: 0.952, Freq: 22"
porree,"Porree/Lauch, roh",Vegetables & Produce,
pute,"Putenbrust, Kochpökelware, geräuchert",Proteins & Meat,
quark,"Speisequark Magerstufe, Magerquark < 10 % Fett i. Tr.",Dairy & Cheese,
quinoa,"Quinoa weiß, roh",Specialty Items,
raclettekäse,Emmentaler mind. 45 % Fett i. Tr.,Dairy & Cheese,
ravioli,Eier-Frischteigwaren Ravioli (Gemüsefüllung) roh,Grains & Flour,
ricotta,Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet,Dairy & Cheese,
rosine,Rosine/Sultanine (Weinbeere getrocknet),Specialty Items,
rosinen,Rosine/Sultanine (Weinbeere getrocknet),Specialty Items,
rote linsen,Linse rot reif,Legumes & Nuts,
rote paprika,"Gemüsepaprika grün, roh",Vegetables & Produce,
rucola,Rucola roh,Vegetables & Produce,
räucherlachs,Lachs geräuchert (Räucherlachs),Auto-imported,"Score: 0.758, Freq: 9"
sahne,Schlagsahne mind. 30 % Fett,Fats & Oils,
salami,Salami (Schwein),Proteins & Meat,
salz,Speisesalz/Siedesalz/Tafelsalz,Seasonings & Condiments,
saure sahne,"Sauerrahm/Creme fraiche, 30 % Fett",Fats & Oils,
schalotte,Speisezwiebel roh,Vegetables & Produce,
schinken,"Schwein Kochschinken, Kochpökelware, gekocht",Proteins & Meat,
schlagobers,"Milchpulver mit hohem Fettgehalt (Sahnepulver, Rahmpulver)",Fats & Oils,
schmand,"Sauerrahm/Schmand, mind. 20 % Fett",Dairy & Cheese,
schnittlauch,Schnittlauch roh,Vegetables & Produce,
senf,Speisesenf gelb,Seasonings & Condiments,
sesam,Sesam,Nüsse und Nussprodukte,
skrei,"Köhler/Seelachs, roh",Proteins & Meat,
sojasauce,Sojasauce/Sojasoße,Seasonings & Condiments,
speck,Schweinespeck durchwachsen,Proteins & Meat,
speisestärke,Maisstärke,Grains & Flour,
spinat,Eierteigwaren Tortelloni (Ricotta-Spinat-Füllung) getrocknet,Vegetables & Produce,
spätzle,"Teigwaren eifrei, roh",Grains & Flour,
staudensellerie,Bleichsellerie roh,Vegetables & Produce,
tahin,Tahin (Sesammus),Specialty Items,
tamari,Sojasauce/Sojasoße,Seasonings & Condiments,
thymian,Ofenkäse mit Knoblauch und Thymian gebacken,Seasonings & Condiments,
tikka,Curry-Gewürzketchup,Specialty Items,
tomate,Tomate roh,Vegetables & Produce,
tomatenkonserve,Tomatenkonserve,Vegetables & Produce,
tomatenmark,Tomatenmark,Seasonings & Condiments,
tortellini,Eierteigwaren Tortellini (Fleischfüllung) getrocknet,Grains & Flour,
tortilla,Weizentortilla,Specialty Items,
vanille,Vanilleschoten,Specialty Items,
vollrahm,Schlagsahne mind. 36 % Fett,Fats & Oils,
wasser,Trinkwasser,Liquids & Beverages,
weisswein,Eiswein,Auto-imported,"Score: 0.875, Freq: 15"
weizenmehl,Buchweizen Mehl,Auto-imported,"Score: 0.8, Freq: 9"
weißwein,Weißwein trocken,Liquids & Beverages,
wienerli,Fleischwurst,Proteins & Meat,
winterkabeljau,"Köhler/Seelachs, roh",Proteins & Meat,
zimt,Zimtpulver,Specialty Items,
zitrone,Zitrone roh,Fruits & Vegetables,
zitronensaft,"Eistee mit Zitronen-/Pfirsichgeschmack, gesüßt",Liquids & Beverages,
zucchetti,Zucchini roh,Vegetables & Produce,
zucchini,Zucchini roh,Vegetables & Produce,
zucker,Brand aus Zuckerrohr (Cachaca),Seasonings & Condiments,
zwiebel,Speisezwiebel roh,Vegetables & Produce,
äpfel,Apfel roh,Specialty Items,
öl,Rapsöl/Rüböl,Fats & Oils,
